iso3,quarter,split,actual,arima_pred,var_pred
DEU,2024Q1,test,2.286347839758851,2.3859605571816083,1.414340144001474
DEU,2024Q2,test,1.929644367501293,2.2517692031157366,1.4687256501033337
DEU,2024Q3,test,2.29787291293877,1.817091812446008,1.4688113826261158
DEU,2024Q4,test,,2.4639165266297134,2.2173568732509894
FRA,2019Q1,val,1.123849507508479,1.0654534997615157,1.1383405825206616
FRA,2019Q2,val,1.0044427274483292,1.1397553283847064,0.952773020566145
FRA,2019Q3,val,1.0850317138349386,0.9673798989685477,0.963874112899435
FRA,2019Q4,val,1.1937024132146146,1.1170683048914087,1.2598842498024398
FRA,2020Q1,val,0.2970012454891035,1.214652555435456,0.4688193010339349
FRA,2020Q2,val,0.3474214317587876,0.04776208146762628,0.2657245970542942
FRA,2020Q3,val,0.0764428589629329,0.418078075023831,0.0271967837539705
FRA,2020Q4,val,0.7428425683861484,-0.003947074221181915,-0.3701311465747941
FRA,2021Q1,test,1.3819015474749952,0.903758987947162,2.147670605596358
FRA,2021Q2,test,1.7247403360543867,1.4929656611195694,1.9971430095213305
FRA,2021Q3,test,2.7180140038192135,1.7816237562423283,2.1362121740169955
FRA,2021Q4,test,3.658343618468951,2.957133055641831,2.626832190864602
FRA,2022Q1,test,5.288944723618094,3.8533093585604856,3.281097558449185
FRA,2022Q2,test,5.848373196777623,5.744621801678612,5.378208009098154
FRA,2022Q3,test,6.066802999318344,5.879575708005815,5.222932779916685
FRA,2022Q4,test,5.989925202259205,6.127072571668603,5.6085144723813585
FRA,2023Q1,test,5.175396730700399,5.9459608113890114,5.147731276564781
FRA,2023Q2,test,4.681554028142432,4.921998088974891,4.755680520676156
FRA,2023Q3,test,3.718742696891808,4.6022291396531045,4.180160646014114
FRA,2023Q4,test,2.794020220641169,3.4209732489225066,2.9236356858902286
FRA,2024Q1,test,2.209364984826556,2.5756960073014112,1.979062584280185
FRA,2024Q2,test,1.7415318717240558,2.076448775530098,1.6242442162236366
FRA,2024Q3,test,1.270243627658063,1.6187742051967475,1.329927827508824
FRA,2024Q4,test,,1.1412806740182546,1.010627146276487
GBR,2019Q1,val,1.922470847778124,1.7201654244328868,1.6670866763262533
GBR,2019Q2,val,1.7868338557993857,2.0323693815728587,1.8979919980953472
GBR,2019Q3,val,1.4343623323978871,1.6570057384503785,1.5220626623473745
GBR,2019Q4,val,1.6552154903185512,1.3152584821172708,1.4515166300506723
GBR,2020Q1,val,0.8039579468150926,1.8412410875825949,1.5372672664198044
GBR,2020Q2,val,0.7699414844471786,0.31749573633153344,0.1081598434674473
GBR,2020Q3,val,0.7377805102981805,0.9224940074975364,0.288137984548434
GBR,2020Q4,val,0.8909370199692734,0.6703430644592986,0.22952428868822694
GBR,2021Q1,test,2.085889570552135,0.973665818831464,1.9503086566024301
GBR,2021Q2,test,2.6589242053789652,2.561750469669442,2.5545019935465336
GBR,2021Q3,test,4.424778761061932,2.6986635882717636,3.2963542894339666
GBR,2021Q4,test,5.511571254567604,5.108190565724161,4.695772775053732
GBR,2022Q1,test,7.932692307692313,5.64973889531624,5.490623528876336
