iso3,quarter,actual,stgnn_pred,split
ITA,2022Q2,8.388941764831543,7.401350975036621,test
KOR,2022Q2,5.87643575668335,5.894827365875244,test
MEX,2022Q2,8.515901565551758,8.253829002380371,test
NLD,2022Q2,12.262985229492188,9.441920280456543,test
SAU,2022Q2,2.9115376472473145,2.758319616317749,test
SGP,2022Q2,2.316103219985962,2.7935783863067627,test
TUR,2022Q2,81.10272979736328,74.53434753417969,test
USA,2022Q2,8.292108535766602,9.079276084899902,test
VNM,2022Q2,1.8347156047821045,2.3165857791900635,test
ZAF,2022Q2,7.922760486602783,7.160609722137451,test
ARG,2022Q3,91.81640625,75.7955093383789,test
AUS,2022Q3,7.8318705558776855,5.42087984085083,test
BRA,2022Q3,6.050130844116211,6.809081077575684,test
CAN,2022Q3,6.665122032165527,5.307174205780029,test
CHE,2022Q3,2.932194948196411,1.5371344089508057,test
CHN,2022Q3,1.8396902084350586,0.8093752861022949,test
DEU,2022Q3,8.580531120300293,5.556215286254883,test
FRA,2022Q3,6.066802978515625,4.003239631652832,test
GBR,2022Q3,9.40970230102539,6.908411979675293,test
IDN,2022Q3,5.545037746429443,3.350318431854248,test
IND,2022Q3,5.664897441864014,4.196111679077148,test
ITA,2022Q3,11.746231079101562,6.544315338134766,test
KOR,2022Q3,5.246417999267578,4.027856826782227,test
MEX,2022Q3,8.005054473876953,6.674986839294434,test
NLD,2022Q3,11.250589370727539,10.417912483215332,test
SAU,2022Q3,3.0807793140411377,1.0670617818832397,test
SGP,2022Q3,6.130954265594482,0.4640471935272217,test
TUR,2022Q3,77.37287902832031,79.24516296386719,test
USA,2022Q3,7.091953277587891,6.443502426147461,test
VNM,2022Q3,3.1565074920654297,-0.005269765853881836,test
ZAF,2022Q3,7.683311939239502,6.0887451171875,test
ARG,2022Q4,101.97456359863281,90.92363739013672,test
AUS,2022Q4,7.021817207336426,6.957230567932129,test
BRA,2022Q4,5.3354172706604,5.186633110046387,test
CAN,2022Q4,5.147388458251953,5.792293071746826,test
CHE,2022Q4,3.1992034912109375,2.0652661323547363,test
CHN,2022Q4,1.238202691078186,1.0077018737792969,test
DEU,2022Q4,8.236776351928711,7.72770881652832,test
FRA,2022Q4,5.989925384521484,5.203009605407715,test
GBR,2022Q4,8.975468635559082,8.54454231262207,test
IDN,2022Q4,5.238894939422607,4.67404842376709,test
IND,2022Q4,6.03561544418335,4.805737495422363,test
ITA,2022Q4,8.90243911743164,10.883548736572266,test
KOR,2022Q4,4.742920398712158,4.387621879577637,test
MEX,2022Q4,7.456119537353516,7.130941390991211,test
NLD,2022Q4,6.619710445404053,10.38611888885498,test
SAU,2022Q4,3.016329288482666,2.208144187927246,test
SGP,2022Q4,6.130954265594482,5.254460334777832,test
TUR,2022Q4,54.33604049682617,76.49015808105469,test
USA,2022Q4,5.729849815368652,6.250299453735352,test
VNM,2022Q4,3.1565074920654297,2.2871272563934326,test
ZAF,2022Q4,7.302099704742432,6.80626916885376,test
ARG,2023Q1,112.99917602539062,101.2215805053711,test
